County Code,District Code,School Code,School Name,Zip Code,Average Days Absent,ChronicAbsenteeismRate,Dropout (Rate),Non-Stability Rate (percent),Suspension Rate (Total),Mean Scale Score,average2021
19,64733.0,6061600.0,Sun Valley Magnet,91352.0,15.911764705882353,14.020000000000001,0.0,5.9125,0.0,2482.8375,727479.4166666666
19,64774.0,109538.0,Marco Antonio Firebaugh High,90262.0,12.884615384615385,12.136363636363637,9.7875,12.245454545454548,0.0,2517.0,556515.0
19,64774.0,114777.0,Pathway Independent Study,90262.0,19.825,45.86,40.4375,66.19,0.0,2427.0,556515.0
19,64774.0,1935428.0,Vista High,90262.0,42.53636363636363,89.1,25.450000000000003,46.2,0.0,2418.2,556515.0
19,64774.0,1935436.0,Lynwood High,90262.0,16.557142857142857,18.058333333333334,11.777777777777779,13.441666666666668,0.0,2530.8999999999996,556515.0
19,64790.0,1935899.0,Canyon Oaks High,91016.0,36.0375,69.78333333333333,2.88,30.166666666666668,0.0,2404.1000000000004,846282.5
19,64790.0,1935923.0,Monrovia High,91016.0,12.1625,14.542857142857143,1.2538461538461538,3.857142857142857,0.43076923076923074,2602.9,846282.5
19,64790.0,1996404.0,Mountain Park,91016.0,37.49166666666667,20.79,4.233333333333333,38.35833333333333,0.0,2492.5375000000004,846282.5
19,64808.0,124552.0,Applied Technology Center,90640.0,4.93,0.0,1.6,5.133333333333334,0.0,2550.7,656180.0833333334
19,64808.0,1930155.0,Schurr High,90640.0,21.0375,2.707142857142857,11.755555555555555,4.2214285714285715,0.0,2542.55,656180.0833333334
19,64808.0,1930825.0,Bell Gardens High,90201.0,20.430769230769233,2.518181818181818,18.325,10.60909090909091,0.0,2509.6499999999996,553898.5833333334
19,64808.0,1935998.0,Montebello High,90640.0,14.913333333333334,1.5615384615384613,25.0,11.507692307692308,0.0,2491.6,656180.0833333334
19,64808.0,1938927.0,Vail High (Continuation),90640.0,16.91,13.35,51.55,64.5125,0.0,2477.3,656180.0833333334
19,64840.0,1933647.0,John H. Glenn High,90650.0,7.8842105263157904,6.876470588235295,2.477777777777778,10.923529411764704,0.03125,2511.45,600870.0833333334
19,64840.0,1934728.0,La Mirada High,90638.0,5.738888888888889,2.2375,2.9545454545454546,5.60625,0.0,2604.95,727626.1666666666
19,64840.0,1936467.0,Norwalk High,90650.0,7.394444444444444,4.71875,1.3454545454545455,6.09375,0.04666666666666667,2555.3,600870.0833333334
19,64840.0,1936475.0,El Camino High (Continuation),90638.0,29.84166666666667,48.96,7.0375,53.04,0.0,2417.0,727626.1666666666
19,64857.0,112714.0,Antelope Valley Learning Academy,93550.0,42.975,43.56666666666667,22.39090909090909,39.31666666666667,0.041666666666666664,2426.3166666666666,374875.1666666667
19,64857.0,125377.0,Palmdale Aerospace Academy,93550.0,13.427272727272726,14.419999999999998,0.625,4.675,0.021428571428571432,2467.1428571428573,374875.1666666667
19,64865.0,1995588.0,Palos Verdes Peninsula High,90274.0,6.4312499999999995,2.2142857142857144,0.0,4.2214285714285715,0.0,2690.8,2215405.5
19,64865.0,1996552.0,Palos Verdes High,90274.0,3.1,0.37692307692307697,0.11000000000000001,3.676923076923077,0.0,2649.75,2215405.5
19,64873.0,1936749.0,Paramount High,90723.0,17.450000000000003,18.86875,8.510000000000002,9.1,0.060000000000000005,2525.15,528070.1666666666
19,64873.0,1936756.0,Buena Vista High,90712.0,57.125,84.25,9.128571428571428,32.82,0.0,2452.8,727543.9166666666
19,64881.0,113464.0,Aveson Global Leadership Academy,91001.0,19.4375,38.199999999999996,9.516666666666667,5.314285714285715,0.16,2534.8875,1121613.4166666667
19,64881.0,117440.0,CIS Academy,91107.0,45.86363636363637,65.45555555555556,9.416666666666666,33.97777777777778,0.0,2485.671428571429,1141848.8333333333
19,64881.0,118075.0,Learning Works,91107.0,26.907692307692308,44.82727272727273,37.25555555555556,61.56666666666666,0.0,2421.9,1141848.8333333333
19,64881.0,1931062.0,Blair High,91106.0,11.735,13.844444444444443,14.811111111111112,12.483333333333333,0.0,2511.7375,846768.0
19,64881.0,1931674.0,Marshall Fundamental,91104.0,10.345,8.194444444444445,1.7272727272727273,4.322222222222222,0.0,2535.65,1063423.1666666667
19,64881.0,1936103.0,John Muir High,91103.0,21.56,27.96923076923077,8.055555555555555,12.646153846153847,0.43333333333333335,2515.9,980875.1666666666
19,64881.0,1936806.0,Rose City High (Continuation),91101.0,53.60833333333334,87.84,11.54,55.010000000000005,0.5555555555555556,2429.5,728983.5833333334
19,64881.0,1936822.0,Pasadena High,91107.0,13.588888888888889,12.86875,6.2250000000000005,8.7875,0.0,2586.75,1141848.8333333333
19,64907.0,115170.0,School of Extended Educational Options,91767.0,28.076190476190476,34.347368421052636,15.899999999999997,35.08421052631579,0.0,2478.5285714285715,559008.5833333334
19,64907.0,1933175.0,Ganesha High,91768.0,21.542857142857144,24.650000000000002,4.1125,13.383333333333333,0.21818181818181817,2518.5,551004.9166666666
19,64907.0,1933324.0,Garey High,91766.0,29.21333333333333,35.47692307692308,7.275,14.192307692307692,0.0,2532.25,544229.1666666666
19,64907.0,1936772.0,Park West High (Continuation),91767.0,52.33076923076923,85.11818181818181,13.488888888888889,53.56363636363637,0.0,2428.35,559008.5833333334
19,64907.0,1937028.0,Pomona High,91767.0,23.20625,28.228571428571428,10.566666666666668,14.507142857142856,0.0,2512.55,559008.5833333334
19,64907.0,1995901.0,Diamond Ranch High,91766.0,8.627777777777776,5.14375,0.2333333333333333,5.73125,0.0,2580.9,544229.1666666666
19,64907.0,1996495.0,Village Academy High School at Indian Hill,91767.0,18.158333333333335,13.98,1.0,8.559999999999999,0.0,2601.45,559008.5833333334
19,64907.0,6061634.0,Fremont Academy of Engineering and Design,91766.0,24.86,23.79230769230769,10.9375,5.230769230769231,0.0,2494.983333333333,544229.1666666666
19,64907.0,6061642.0,Palomares Academy of Health Science,91767.0,13.22857142857143,9.816666666666666,3.442857142857143,6.266666666666666,0.0,2512.1,559008.5833333334
19,64964.0,1937754.0,San Marino High,91108.0,7.392857142857143,3.3666666666666667,2.4699999999999998,2.9583333333333335,0.0,2676.0,2413937.8333333335
19,64980.0,1938000.0,Santa Monica High,90405.0,9.870588235294116,9.879999999999999,2.2916666666666665,4.926666666666667,0.049999999999999996,2650.0,1913926.6666666667
19,64980.0,1995737.0,Malibu High,90265.0,6.108333333333333,4.02,2.1,6.7700000000000005,0.0,2657.5,3659332.0833333335
19,65029.0,1938455.0,South Pasadena Senior High,91030.0,6.79375,3.3642857142857143,2.4555555555555553,6.728571428571429,0.05384615384615384,2684.4,1354584.8333333333
19,65052.0,1938679.0,Temple City High,91780.0,10.166666666666666,8.123076923076923,0.6111111111111112,5.915384615384616,0.19999999999999998,2660.85,886249.25
19,65052.0,1995745.0,Dr. Doug Sears Learning Center,91780.0,84.31818181818181,73.88888888888889,17.925,44.144444444444446,2.5875000000000004,2496.2,886249.25
19,65060.0,1936277.0,North High,90504.0,6.723529411764707,3.1333333333333333,0.47500000000000003,5.366666666666666,0.4428571428571429,2639.55,866727.3333333334
19,65060.0,1938083.0,Shery (Kurt T.) High (Continuation),90501.0,22.323076923076922,61.49090909090909,13.133333333333333,60.85454545454545,0.0,2483.55,824417.4166666666
19,65060.0,1938356.0,South High,90505.0,7.446666666666667,3.2,0.0,3.7,0.10833333333333334,2649.2,1192358.5
19,65060.0,1938752.0,Torrance High,90501.0,8.064705882352941,6.260000000000001,0.19166666666666668,7.113333333333333,0.08571428571428572,2632.45,824417.4166666666
19,65060.0,1939602.0,West High,90503.0,5.6625000000000005,1.5571428571428572,0.0,5.185714285714285,0.0,2634.05,1083760.4166666667
19,65094.0,112706.0,California Virtual Academy @ Los Angeles,93065.0,10.070833333333335,11.627272727272727,21.5,16.572727272727274,0.0,2480.292857142857,712164.0
19,65094.0,122432.0,Edgewood High,91790.0,8.440000000000001,4.038461538461538,3.3272727272727276,3.5384615384615383,0.0,2556.45,676423.5
19,65094.0,1938513.0,Coronado High (Continuation),91791.0,25.907692307692308,58.40909090909091,17.25,51.76666666666667,0.0,2412.0,753318.8333333334
19,65094.0,1939537.0,West Covina High,91791.0,9.388235294117647,2.8466666666666667,1.8727272727272728,7.7,0.0,2546.8500000000004,753318.8333333334
19,65128.0,1930338.0,Frontier High (Continuation),90605.0,19.635714285714283,43.425000000000004,18.0,46.05833333333334,0.2545454545454545,2464.45,643363.3333333334
19,65128.0,1931302.0,California High,90604.0,9.53125,3.6571428571428575,1.8888888888888888,7.057142857142857,0.04615384615384615,2595.25,688640.0
